Video filename,Talker,Modaliy,Style,Story,Sentence,New filename,A start,V start,A end,V end,Comments,Problematic,Error Type,Accent,Syllable Number,,,Interference at the end,Interference at the beginning,,,Start,End
sp01_av_ids_sty_A,sp01,av,ids,3,37,sp01_av_ids_str3_snt37,367.24,367.1,370.06,370.1,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,38,sp01_av_ids_str3_snt38,371.42,371.32,374.32,374.36,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,39,sp01_av_ids_str3_snt39,375.54,375.44,378.48,378.5,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,40,sp01_av_ids_str3_snt40,379.62,379.52,383.16,383.32,,,,American English,13,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,41,sp01_av_ids_str3_snt41,384.34,384.22,388.2,388.3,,,,American English,13,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,42,sp01_av_ids_str3_snt42,389.7,389.56,392.54,392.72,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,43,sp01_av_ids_str3_snt43,393.72,393.6,395.9,396.08,,,,American English,6,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,44,sp01_av_ids_str3_snt44,397.64,397.22,401.8,401.84,,,,American English,12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,45,sp01_av_ids_str3_snt45,402.88,402.82,405.5,405.58,,,,American English,8,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,46,sp01_av_ids_str3_snt46,407.5,407.22,410.1,410.18,,,,American English,7,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,47,sp01_av_ids_str3_snt47,412.72,412.48,415.5,415.54,,,,American English,7,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,48,sp01_av_ids_str3_snt48,416.94,416.74,420.52,420.58,,,,American English,13,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,49,sp01_av_ids_str3_snt49,422.22,422.08,426.36,426.4,,,,American English,12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,50,sp01_av_ids_str3_snt50,431.2,430.92,435,435.04,,,,American English,14,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,51,sp01_av_ids_str3_snt51,436.2,436.12,438.54,438.62,,,,American English,9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,52,sp01_av_ids_str3_snt52,439.22,439.12,442.38,442.5,,,,American English,8,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,53,sp01_av_ids_str3_snt53,444.52,444.22,447.98,448.12,,,,American English,13,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,54,sp01_av_ids_str3_snt54,450.58,450.28,453.8,453.88,,,,American English,6,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,55,sp01_av_ids_str3_snt55,454.7,454.56,458.08,458.26,,,,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,56,sp01_av_ids_str3_snt56,459.58,459.4,462.96,463.04,,,,American English,11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,57,sp01_av_ids_str3_snt57,464.5,464.24,467.28,467.3,,,,American English,5,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,3,58,sp01_av_ids_str3_snt58,468.46,468.34,471.88,472.12,,,,American English,13,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,59,sp01_av_ids_str4_snt59,489.72,489.68,492.06,492.12,Interference (title),Yes,Interference,American English,10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,60,sp01_av_ids_str4_snt60,493.34,493.14,496.22,496.36,,,,American English, 12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,61,sp01_av_ids_str4_snt61,497.8,497.62,498.72,498.92,,,,American English,2,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,62,sp01_av_ids_str4_snt62,500.58,500.48,503.16,503.32,,,,American English, 8,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,63,sp01_av_ids_str4_snt63,504.48,504.34,506.96,507.1,,,,American English, 9,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,64,sp01_av_ids_str4_snt64,508.44,508.32,511.68,511.84,,,,American English, 12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,65,sp01_av_ids_str4_snt65,513.86,513.84,515.98,516.94,,,,American English, 6,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,66,sp01_av_ids_str4_snt66,516.88,516.78,520.14,520.2,,,,American English, 11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,67,sp01_av_ids_str4_snt67,521.34,521.22,525.48,525.58,,,,American English, 12,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,68,sp01_av_ids_str4_snt68,526.16,525.96,528.88,528.9,,,,American English, 8,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,69,sp01_av_ids_str4_snt69,530.52,530.46,532.28,532.3,,,,American English, 6,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,70,sp01_av_ids_str4_snt70,533.68,533.48,535.16,535.2,,,,American English, 5,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,71,sp01_av_ids_str4_snt71,536.3,536.2,539.46,539.56,,,,American English, 11,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,72,sp01_av_ids_str4_snt72,540.1,540.02,543.06,543.1,,,,American English, 10,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,73,sp01_av_ids_str4_snt73,544.28,544.2,546.68,546.78,,,,American English, 7,,,No,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,74,sp01_av_ids_str4_snt74,548.38,548.26,550.8,550.84,Interference,Yes,Interference,American English,6,,,Yes,No,,,--,--
sp01_av_ids_sty_A,sp01,av,ids,4,75,sp01_av_ids_str4_snt75,551.24,551.2,555.94,556,Interference,Yes,Interference,American English,13,,,--,Yes,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,14,sp02_av_ids_str2_snt14,84.82,84.42,87.72,87.76,"The speaker added ""okay"" at the end of the sentence.",Yes,Additional words,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,15,sp02_av_ids_str2_snt15,88.68,88.64,91.86,91.94,,,,Hiberno English,12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,16,sp02_av_ids_str2_snt16,93,92.92,95.32,95.52,,,,Hiberno English,11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,17,sp02_av_ids_str2_snt17,96.68,96.5,99.86,100,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,18,sp02_av_ids_str2_snt18,101.34,101.2,105.38,105.44,,,,Hiberno English,14,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,19,sp02_av_ids_str2_snt19,107.22,106.94,110.4,110.56,,,,Hiberno English,12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,20,sp02_av_ids_str2_snt20,111.82,111.58,115.22,115.48,,,,Hiberno English,16,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,21,sp02_av_ids_str2_snt21,116.5,116.44,119.52,119.64,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,22,sp02_av_ids_str2_snt22,120.86,120.72,123.88,124,"The speaker added ""ah!"" at the end of the sentence.",Yes,Additional words,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,23,sp02_av_ids_str2_snt23,125.42,125.28,129.68,129.88,,,,Hiberno English,12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,24,sp02_av_ids_str2_snt24,130.74,130.58,133.46,133.56,,,,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,25,sp02_av_ids_str2_snt25,134.62,134.58,137.88,138.04,,,,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,26,sp02_av_ids_str2_snt26,139.04,138.98,142,142.14,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,27,sp02_av_ids_str2_snt27,143.34,143.2,145.52,145.68,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,28,sp02_av_ids_str2_snt28,146.74,146.62,149.36,149.6,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,29,sp02_av_ids_str2_snt29,150.64,150.6,152.94,153.14,,,,Hiberno English,7,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,30,sp02_av_ids_str2_snt30,154.3,154,157.76,157.9,,,,Hiberno English,12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,31,sp02_av_ids_str2_snt31,158.4,158.34,160.68,160.78,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,32,sp02_av_ids_str2_snt32,161.56,161.5,164.06,164.2,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,33,sp02_av_ids_str2_snt33,165.36,165.24,168.92,169.04,,,,Hiberno English,14,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,2,34,sp02_av_ids_str2_snt34,170,169.96,172.92,172.98,,,,Hiberno English,11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,35,sp02_av_ids_str3_snt35,182.38,182.3,184.22,184.44,,,,Hiberno English,8,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,36,sp02_av_ids_str3_snt36,185.66,185.46,187.5,187.56,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,37,sp02_av_ids_str3_snt37,188.64,188.46,191.08,191.2,,,,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,38,sp02_av_ids_str3_snt38,192.14,192.08,194.46,194.56,,,,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,39,sp02_av_ids_str3_snt39,195.64,195.58,198.3,198.4,,,,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,40,sp02_av_ids_str3_snt40,199.64,199.42,203.1,203.2,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,41,sp02_av_ids_str3_snt41,204.42,204.24,207.61,207.74,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,42,sp02_av_ids_str3_snt42,208.98,208.9,211.04,211.4,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,43,sp02_av_ids_str3_snt43,214.34,214.22,216.3,216.4,,,,Hiberno English,6,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,44,sp02_av_ids_str3_snt44,218.44,218.24,221.72,221.78,,,,Hiberno English,12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,45,sp02_av_ids_str3_snt45,222.24,222.16,224,224.18,,,,Hiberno English,8,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,46,sp02_av_ids_str3_snt46,225.08,224.9,226.56,226.72,,,,Hiberno English,7,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,47,sp02_av_ids_str3_snt47,228.02,227.82,230.14,230.18,,,,Hiberno English,7,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,48,sp02_av_ids_str3_snt48,231.56,231.36,234.56,234.68,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,49,sp02_av_ids_str3_snt49,236.48,236.36,239.62,239.68,,,,Hiberno English,12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,50,sp02_av_ids_str3_snt50,240.98,240.88,243.88,244.1,,,,Hiberno English,14,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,51,sp02_av_ids_str3_snt51,245.1,245.04,246.68,246.72,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,52,sp02_av_ids_str3_snt52,247.58,247.46,249.72,249.82,,,,Hiberno English,8,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,53,sp02_av_ids_str3_snt53,250.86,250.78,254.02,254.1,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,54,sp02_av_ids_str3_snt54,255.06,254.86,256.96,257.14,,,,Hiberno English,6,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,55,sp02_av_ids_str3_snt55,258.26,258.22,260.92,261.04,,,,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,56,sp02_av_ids_str3_snt56,261.93,261.88,264.54,264.62,,,,Hiberno English,11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,57,sp02_av_ids_str3_snt57,265.48,265.42,267.08,267.24,,,,Hiberno English,5,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,3,58,sp02_av_ids_str3_snt58,268.36,268.16,271.62,271.9,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,59,sp02_av_ids_str4_snt59,282.12,282.02,283.92,284,,,,Hiberno English,10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,60,sp02_av_ids_str4_snt60,284.94,284.76,287.12,287.18,"The speaker added ""yeah"" at the end of the sentence.",Yes,Additional words,Hiberno English, 12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,61,sp02_av_ids_str4_snt61,288.5,288.4,289.2,289.28,Laughter at the end.,Yes,Noise,Hiberno English,2,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,62,sp02_av_ids_str4_snt62,290.6,290.56,291.9,292,,,,Hiberno English, 8,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,63,sp02_av_ids_str4_snt63,293.3,293.12,295.7,295.9,,,,Hiberno English, 9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,64,sp02_av_ids_str4_snt64,296.88,296.72,300.12,300.3,,,,Hiberno English, 12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,65,sp02_av_ids_str4_snt65,301.1,300.36,303.08,303.3,,,,Hiberno English, 6,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,66,sp02_av_ids_str4_snt66,304.56,304.5,307,307.12,,,,Hiberno English, 11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,67,sp02_av_ids_str4_snt67,308.34,308.24,311.9,312,,,,Hiberno English, 12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,68,sp02_av_ids_str4_snt68,312.66,312.54,314.43,314.5,,,,Hiberno English, 8,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,69,sp02_av_ids_str4_snt69,316.18,315.98,317.5,317.64,,,,Hiberno English, 6,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,70,sp02_av_ids_str4_snt70,318.9,318.82,320.16,320.26,,,,Hiberno English, 5,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,71,sp02_av_ids_str4_snt71,321.6,321.5,324.83,324.9,,,,Hiberno English, 11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,72,sp02_av_ids_str4_snt72,326.06,325.96,328.88,328.96,,,,Hiberno English, 10,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,73,sp02_av_ids_str4_snt73,330.22,330.14,331.6,331.8,,,,Hiberno English, 7,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,74,sp02_av_ids_str4_snt74,333.3,333.12,335.3,335.52,,,,Hiberno English,6,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,4,75,sp02_av_ids_str4_snt75,336.17,336.12,340.21,340.46,,,,Hiberno English,13,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,1,sp02_av_ids_str1_snt01,347.96,347.86,351.24,351.42,,,,Hiberno English,15,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,2,sp02_av_ids_str1_snt02,352.38,352.2,354.5,354.78,,,,Hiberno English,12,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,3,sp02_av_ids_str1_snt03,355.73,355.64,357.84,357.96,,,,Hiberno English,7,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,4,sp02_av_ids_str1_snt04,359.52,359.34,362.2,362.3,,,,Hiberno English,11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,5,sp02_av_ids_str1_snt05,363.52,363.38,365.82,365.96,,,,Hiberno English,8,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,6,sp02_av_ids_str1_snt06,366.64,366.46,370.24,370.4,,,,Hiberno English,11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,7,sp02_av_ids_str1_snt07,371.44,371.3,373.54,373.68,,,,Hiberno English,5,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,8,sp02_av_ids_str1_snt08,374.6,374.44,376.56,376.68,,,,Hiberno English,14,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,9,sp02_av_ids_str1_snt09,382.98,382.88,384.48,384.6,,,,Hiberno English,5,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,10,sp02_av_ids_str1_snt10,386.96,386.68,388.9,389.04,,,,Hiberno English,9,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,11,sp02_av_ids_str1_snt11,390.26,390.1,392.26,392.46,,,,Hiberno English,11,,,No,No,,,--,--
sp02_av_ids_sty_C,sp02,av,ids,1,12,sp02_av_ids_str1_snt12,393.5,393.34,396.14,396.22,,,,Hiberno English,6,,,No,No,,,--,--
